id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage,new_cases_per_million_habitants,new_deaths_per_million_habitants,total_cases_per_million_habitants,total_deaths_per_million_habitants
111810,United Kingdom,2020-09-01,339415.00,33853.00,41592.00,305.00,74.33,495.05819233346386,4.460247205911041,4963.523952112446,608.2314812729575
111840,United Kingdom,2020-10-01,462777.00,123362.00,42292.00,700.00,75.00,1804.0164452970423,10.236632931599111,6767.540397409489,618.4681142045566
111871,United Kingdom,2020-11-01,1038056.00,575279.00,46807.00,4515.00,74.50,8412.742794653435,66.02628240881427,15180.283192062925,684.4943966133709
111901,United Kingdom,2020-12-01,1647233.00,609177.00,59148.00,12341.00,76.50,8908.459056246787,180.47183858409232,24088.742248309714,864.9662351974632
111932,United Kingdom,2021-01-01,2549693.00,902460.00,74237.00,15089.00,73.33,13197.359650644192,220.65793472128428,37286.1018989539,1085.6241699187474
111963,United Kingdom,2021-02-01,3846855.00,1297162.00,106774.00,32537.00,75.50,18969.387495455667,475.8133224220575,56255.48939440957,1561.437492340805
111991,United Kingdom,2021-03-01,4194289.00,347434.00,123187.00,16413.00,73.00,5080.79189422458,240.01979472333744,61336.28128863415,1801.4572870641425
112022,United Kingdom,2021-04-01,4364547.00,170258.00,127006.00,3819.00,73.00,2489.812356668859,55.84814452253858,63826.09364530301,1857.305431586681
112052,United Kingdom,2021-05-01,4434157.00,69610.00,127782.00,776.00,72.50,1017.9600262408774,11.348038792744157,64844.05367154389,1868.6534703794252
112083,United Kingdom,2021-06-01,4506333.00,72176.00,128045.00,263.00,72.00,1055.4845978158535,3.846049230015095,65899.53826935973,1872.4995196094403
112113,United Kingdom,2021-07-01,4844944.00,338611.00,128426.00,381.00,67.67,4951.766448002438,5.571653067056087,70851.30471736217,1878.0711726764964
112144,United Kingdom,2021-08-01,5907594.00,1062650.00,130014.00,1588.00,64.00,15539.939978233993,23.222532993399128,86391.24469559616,1901.2937056698954
79655,Norway,2020-03-01,19.00,19.00,,,3.33,3.4668464561074432,,3.4668464561074432,
1610,Alabama,2020-04-01,1108.00,,28.00,,24.67,,,220.5291545314263,5.572938923176838
3260,Alabama,2020-05-01,7294.00,6186,289.00,261,30.13,1231.22143495614,51.947752105326956,1451.7505894875662,57.52069102850379
4965,Alabama,2020-06-01,18534.00,11240,646.00,357,27.60,2237.136910589559,71.05497127050468,3688.8875000771254,128.57566229900848
6615,Alabama,2020-07-01,38962.00,20428,972.00,326,62.68,4065.8570115234443,64.88493174841604,7754.74451160057,193.4605940474245
8320,Alabama,2020-08-01,89349.00,50387,1603.00,631,65.35,10028.70262578969,125.59015930444946,17783.44713739026,319.050753351874
10025,Alabama,2020-09-01,127616.00,38267,2200.00,597,59.83,7616.4162061860025,118.823019183449,25399.863343576264,437.873772535323
3261,Alaska,2020-05-01,362.00,219,7.00,5,42.42,298.6128818052035,6.817645703315148,493.5975489200167,9.544703984641208
4966,Alaska,2020-06-01,476.00,114,8.00,1,46.03,155.4423220355854,1.3635291406630297,649.0398709556022,10.908233125304237
6616,Alaska,2020-07-01,1174.00,698,12.00,4,57.45,951.7433401827947,5.454116562652119,1600.7832111383968,16.362349687956357
8321,Alaska,2020-08-01,3825.00,2651,22.00,10,56.84,3614.7157518976915,13.635291406630296,5215.498963036089,29.997641094586655
10026,Alaska,2020-09-01,6109.00,2284,36.00,14,52.33,3114.3005572743596,19.089407969282416,8329.799520310447,49.08704906386907
1612,Arizona,2020-04-01,1413.00,1412,29.00,29,14.90,197.44104105682973,4.055092203008543,197.58087182245072,4.055092203008543
3262,Arizona,2020-05-01,7962.00,6549,330.00,301,17.55,915.7516840518258,42.089060451916254,1113.3325558742765,46.144152654924795
4967,Arizona,2020-06-01,20123.00,12161,918.00,588,21.77,1700.4819407167893,82.22049018513873,2813.8144965910656,128.36464284006354
6617,Arizona,2020-07-01,84152.00,64029,1726.00,808,83.13,8953.224091946,112.98325862175527,11767.038588537065,241.3479014618188
8322,Arizona,2020-08-01,177019.00,92867,3753.00,2027,87.26,12985.663710923944,283.43696191373505,24752.70229946101,524.7848633755539
10027,Arizona,2020-09-01,202375.00,25356,5048.00,1295,67.97,3545.5488930856764,181.08084147917458,28298.251192546686,705.8657048547284
3263,Arkansas,2020-05-01,3310.00,2686,64.00,54,38.19,891.9072203973802,17.931120588778306,1099.111280534374,21.251698475589105
4968,Arkansas,2020-06-01,7443.00,4133,133.00,69,36.90,1372.3948406189027,22.911987418994503,2471.5061211532766,44.16368589458361
6618,Arkansas,2020-07-01,21197.00,13754,277.00,144,58.26,4567.122825519571,47.81632157007548,7038.628946672848,91.9800074646591
8323,Arkansas,2020-08-01,43173.00,21976,458.00,181,59.00,7297.3019640554085,60.10245975127543,14335.930910728255,152.0824672159345
10028,Arkansas,2020-09-01,61497.00,18324,814.00,356,60.20,6084.626919792106,118.21257277046439,20420.55783052036,270.29503998639893
1614,California,2020-04-01,9857.00,9824,212.00,212,38.07,248.4684250984168,5.36190005301958,249.30306048402832,5.36190005301958
3264,California,2020-05-01,52318.00,42461,2147.00,1935,45.23,1073.9228214682284,48.93998397449476,1323.2258819522567,54.30188402751434
4969,California,2020-06-01,115643.00,63325,4287.00,2140,48.70,1601.614721025778,54.12484015783916,2924.840602978035,108.42672418535349
6619,California,2020-07-01,239764.00,124121,6168.00,1881,74.29,3139.2660211360535,47.574216979857695,6064.106624114088,156.0009411652112
8324,California,2020-08-01,509507.00,269743,9365.00,3197,74.61,6822.334933970098,80.85846447879057,12886.441558084187,236.85940564400175
10029,California,2020-09-01,716630.00,207123,13149.00,3784,72.47,5238.551059818748,95.70485755012308,18124.992617902935,332.56426319412486
3265,Colorado,2020-05-01,15661.00,12315,818.00,738,45.71,2132.9425045992925,127.82067140838635,2712.4654944806757,141.67657074804882
4970,Colorado,2020-06-01,26563.00,10902,1458.00,640,48.00,1888.212682512504,110.84719471729981,4600.6781769931795,252.52376546534865
6620,Colorado,2020-07-01,33012.00,6449,1697.00,239,61.13,1116.9586855185414,41.39449927724165,5717.636862511721,293.9182647425903
8325,Colorado,2020-08-01,47357.00,14345,1846.00,149,61.71,2484.535950343228,25.806612520121362,8202.17281285495,319.7248772627117
10030,Colorado,2020-09-01,58118.00,10761,1953.00,107,63.57,1863.791659926349,18.532265366798562,10065.964472781297,338.2571426295102
3266,Connecticut,2020-05-01,28764.00,25207,2339.00,2254,47.68,6990.402513183788,625.0790361691696,7976.8293683984,648.6512269741294
4971,Connecticut,2020-06-01,42740.00,13976,3964.00,1625,55.40,3875.822808119039,450.644824212467,11852.652176517438,1099.2960511865963
6621,Connecticut,2020-07-01,46572.00,3832,4324.00,360,78.55,1062.689825465953,99.83516105630038,12915.342001983392,1199.1312122428967
8326,Connecticut,2020-08-01,49810.00,3238,4432.00,108,73.35,897.9618097230573,29.950548316890114,13813.30381170645,1229.0817605597867
10031,Connecticut,2020-09-01,53006.00,3196,4466.00,34,71.37,886.3143742664889,9.428876321983925,14699.618185972939,1238.5106368817708
