id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage
10051,Missouri,2020-09-01,184964.00,87414,5173.00,1651,51.57
1637,Montana,2020-04-01,219.00,219,5.00,5,21.00
3287,Montana,2020-05-01,671.00,452,21.00,16,28.03
4992,Montana,2020-06-01,1190.00,519,38.00,17,34.00
6642,Montana,2020-07-01,2206.00,1016,60.00,22,57.61
8347,Montana,2020-08-01,6287.00,4081,121.00,61,52.80
10052,Montana,2020-09-01,13813.00,7526,226.00,105,51.63
1638,Nebraska,2020-04-01,262.00,249,5.00,5,21.67
3288,Nebraska,2020-05-01,5100.00,4838,77.00,72,24.61
4993,Nebraska,2020-06-01,19445.00,14345,260.00,183,31.03
6643,Nebraska,2020-07-01,38770.00,19325,542.00,282,48.52
8348,Nebraska,2020-08-01,65161.00,26391,880.00,338,46.20
10053,Nebraska,2020-09-01,99735.00,34574,1285.00,405,50.43
1639,Nevada,2020-04-01,1279.00,1279,32.00,32,21.27
3289,Nevada,2020-05-01,6528.00,5249,286.00,254,28.03
4994,Nevada,2020-06-01,15229.00,8701,706.00,420,34.00
6644,Nevada,2020-07-01,34380.00,19151,1218.00,512,69.40
8349,Nevada,2020-08-01,83587.00,49207,2050.00,832,66.40
10054,Nevada,2020-09-01,153295.00,69708,3363.00,1313,66.73
1640,New Hampshire,2020-04-01,415.00,415,4.00,4,23.10
3290,New Hampshire,2020-05-01,2725.00,2310,85.00,81,47.52
4995,New Hampshire,2020-06-01,7410.00,4685,330.00,245,54.73
6645,New Hampshire,2020-07-01,13212.00,5802,703.00,373,72.60
8350,New Hampshire,2020-08-01,19825.00,6613,1119.00,416,67.00
10055,New Hampshire,2020-09-01,27122.00,7297,1551.00,432,63.23
1641,New Jersey,2020-04-01,22255.00,22255,355.00,355,37.20
3291,New Jersey,2020-05-01,143445.00,121190,7893.00,7538,50.03
4996,New Jersey,2020-06-01,304363.00,160918,19614.00,11721,50.60
6646,New Jersey,2020-07-01,478145.00,173782,34692.00,15078,70.80
8351,New Jersey,2020-08-01,662049.00,183904,50522.00,15830,67.80
10056,New Jersey,2020-09-01,856119.00,194070,66472.00,15950,68.47
1642,New Mexico,2020-04-01,363.00,363,6.00,6,21.00
3292,New Mexico,2020-05-01,3876.00,3513,137.00,131,28.03
4997,New Mexico,2020-06-01,11676.00,7800,499.00,362,34.00
6647,New Mexico,2020-07-01,23952.00,12276,999.00,500,72.00
8352,New Mexico,2020-08-01,44748.00,20796,1650.00,651,69.60
10057,New Mexico,2020-09-01,70208.00,25460,2437.00,787,70.37
1643,New York,2020-04-01,84365.00,84364,2415.00,2415,36.17
3293,New York,2020-05-01,397940.00,313575,26256.00,23841,46.16
4998,New York,2020-06-01,774460.00,376520,56022.00,29766,56.43
6648,New York,2020-07-01,1173230.00,398770,87813.00,31791,80.60
8353,New York,2020-08-01,1593707.00,420477,120203.00,32390,69.60
10058,New York,2020-09-01,2033944.00,440237,152754.00,32551,71.67
1644,North Carolina,2020-04-01,1591.00,1591,11.00,11,27.03
3294,North Carolina,2020-05-01,12513.00,10922,416.00,405,31.39
4999,North Carolina,2020-06-01,41881.00,29368,1339.00,923,37.30
6649,North Carolina,2020-07-01,108696.00,66815,2728.00,1389,53.20
8354,North Carolina,2020-08-01,232711.00,124015,4717.00,1989,56.00
